Date;0-17_years_C;18-39_years_C;40-64_years_C;65_years_C;total_cases;0-17_years_D;18-39_years_D;40-64_years_D;65plus_years_D
03/04/20;43;463;686;320;1512;0;1;17;41
04/04/20;45;488;712;331;1576;0;1;18;49
05/04/20;48;507;739;345;1639;0;1;18;54
06/04/20;48;519;750;350;1667;0;1;20;58
07/04/20;48;532;790;367;1737;0;1;21;59
08/04/20;50;548;817;383;1798;0;1;21;61
09/04/20;51;575;850;397;1873;0;1;23;48
10/04/20;66;596;867;408;1937;0;1;24;65
11/04/20;69;615;892;426;2002;0;1;25;67
12/04/20;70;625;905;437;2037;0;1;27;70
13/04/20;72;633;913;447;2065;0;1;27;71
14/04/20;74;641;920;452;2087;0;1;27;73
15/04/20;76;646;932;458;2112;0;1;27;74
16/04/20;78;656;938;463;2135;0;1;28;76
17/04/20;78;661;946;465;2150;0;1;28;79
18/04/20;78;668;950;466;2162;0;1;29;80
19/04/20;78;670;954;467;2169;0;1;29;80
20/04/20;78;670;957;469;2174;0;1;29;86
21/04/20;79;675;961;469;2184;0;2;29;90
22/04/20;79;681;964;473;2197;0;2;29;90
23/04/20;80;694;984;490;2248;0;2;30;93
24/04/20;82;703;998;497;2280;0;2;31;97
25/04/20;87;708;1000;499;2294;0;2;31;97
26/04/20;89;712;1004;500;2305;0;2;33;99
27/04/20;95;720;1009;502;2326;0;2;34;100
28/04/20;98;728;1022;510;2358;0;2;34;102
29/04/20;98;730;1029;511;2368;0;2;34;103
30/04/20;100;732;1034;515;2381;0;2;34;104
01/05/20;102;739;1037;520;2398;0;2;34;104
02/05/20;102;743;1041;524;2410;0;2;35;106
03/05/20;102;744;1042;525;2413;0;2;35;107
04/05/20;103;748;1045;527;2423;0;2;36;108
05/05/20;105;755;1044;530;2434;0;2;36;108
06/05/20;105;765;1054;534;2458;0;2;36;109
07/05/20;105;767;1062;539;2473;0;2;36;110
08/05/20;106;771;1068;542;2487;0;2;36;112
09/05/20;106;773;1075;551;2505;0;2;36;113
10/05/20;106;775;1077;553;2511;0;2;36;113
11/05/20;106;775;1082;558;2521;0;2;36;113
12/05/20;107;784;1085;562;2538;0;2;36;114
13/05/20;111;791;1090;563;2555;0;2;37;116
14/05/20;111;795;1092;564;2562;0;2;38;116
15/05/20;123;801;1100;564;2588;0;3;39;118
16/05/20;124;802;1106;567;2599;0;3;39;120
17/05/20;131;811;1115;569;2626;0;3;40;120
18/05/20;131;811;1117;571;2630;0;3;40;122
19/05/20;131;814;1118;571;2634;0;3;40;122
20/05/20;135;818;1119;571;2643;0;3;40;123
21/05/20;145;818;1120;572;2655;0;3;39;126
22/05/20;153;830;1121;572;2676;0;3;39;127
23/05/20;153;832;1121;573;2679;0;3;39;129
24/05/20;153;833;1122;573;2681;0;3;39;129
25/05/20;153;833;1124;575;2685;0;3;39;130
26/05/20;155;833;1128;577;2693;0;3;39;131
27/05/20;159;843;1131;574;2707;0;3;39;131
28/05/20;159;843;1133;575;2710;0;3;39;133
29/05/20;159;843;1136;575;2713;0;3;39;133
30/05/20;159;844;1138;576;2717;0;3;39;133
31/05/20;159;844;1139;576;2718;0;3;39;133
01/06/20;159;845;1139;576;2719;0;3;39;137
02/06/20;159;846;1144;577;2726;0;3;39;137
03/06/20;159;850;1150;579;2738;0;3;39;137
04/06/20;159;859;1154;582;2754;0;3;39;138
05/06/20;161;865;1162;589;2777;0;3;39;138
06/06/20;163;878;1169;593;2803;0;3;39;138
07/06/20;165;882;1178;595;2820;0;3;39;138
08/06/20;167;889;1188;598;2842;0;3;39;140
09/06/20;169;891;1195;601;2856;0;3;40;140
10/06/20;171;893;1201;601;2866;0;3;40;140
11/06/20;172;901;1208;605;2886;0;3;40;140
12/06/20;173;907;1216;609;2905;0;3;40;140
13/06/20;173;909;1217;610;2909;0;3;40;140
14/06/20;174;911;1219;613;2917;0;3;40;140
15/06/20;176;914;1228;613;2931;0;3;40;141
16/06/20;176;915;1233;621;2945;0;3;40;142
17/06/20;179;933;1257;628;2997;0;3;41;143
18/06/20;180;940;1263;638;3021;0;3;42;143
19/06/20;181;945;1269;639;3034;0;3;42;144
